src_page,dest_page
3752770,9342302
3752770,9342258
3752770,9329367
3752770,9292085
3752770,9289554
3752770,9242886
3752770,9223306
3752770,9213483
3752770,9212423
3752770,9203772
3752770,9202520
3752770,9189205
3752770,9182633
3752770,9180633
3752770,9176814
3752770,9068876
3752770,9068871
3752770,9059519
3752770,9030099
3752770,9013047
3752770,9002934
3752770,8996460
3752770,8979591
3752770,8979016
3752770,8958775
3752770,8949323
3752770,8939818
3752770,8938114
3752770,8926403
3752770,8923057
3752770,8887235
3752770,8886880
3752770,8876769
3752770,8871016
3752770,8869526
3752770,8836920
3752770,8827692
3752770,8822613
3752770,8822569
3752770,8819286
3752770,8819230
3752770,8807646
3752770,8801281
3752770,8796476
3752770,8784341
3752770,8734327
3752770,8701747
3752770,8682294
3752770,8671508
3752770,8657622
3752770,8656503
3752770,8647880
3752770,8634489
3752770,8631559
3752770,8617135
3752770,8614355
3752770,8613678
3752770,8525061
3752770,8463768
3752770,8329160
3752770,8320244
3752770,8292332
3752770,8235202
3752770,8201918
3752770,8171362
3752770,8171346
3752770,8171292
3752770,8141019
3752770,8140517
3752770,8140480
3752770,8100255
3752770,8073509
3752770,8030426
3752770,7990205
3752770,7972553
3752770,7972506
3752770,7922654
3752770,7922627
3752770,7922609
3752770,7922230
3752770,7912039
3752770,7912034
3752770,7911860
3752770,7899388
3752770,7876081
3752770,7856350
3752770,7810525
3752770,7810224
3752770,7809275
3752770,7776843
3752770,7718986
3752770,7626123
3752770,7625822
3752770,7625630
3752770,7596571
3752770,7595502
3752770,7595392
3752770,7566199
3752770,7530965
3752770,7526941
3752770,7526872
3752770,7515598
3752770,7507699
3752770,7507698
3752770,7507681
3752770,7482918
3752770,7073977
3752770,7073798
3752770,7040452
3752770,7040442
3752770,7040434
3752770,6823351
3752770,6821592
3752770,6795955
3752770,6788345
3752770,6759680
3752770,6759666
3752770,6756499
3752770,6702887
3752770,6648394
3752770,6606444
3752770,6539112
3752770,6539070
3752770,6531063
3752770,6500934
3752770,6437229
3752770,6420557
3752770,6368472
3752770,6244449
3752770,6123839
3752770,6123831
3752770,6123657
3752770,5332488
3752770,5231680
3752770,5215139
3752770,5017689
3752770,4926663
3752770,4397064
2817607,3172805
2817607,3172800
2847390,4313139
2847390,4087523
2758042,9899445
2758042,2917245
8672803,9637767
5551621,9847532
1346365,10574943
1346365,6244152
1346365,3440708
1346365,2758760
1346365,2676364
1346365,2207041
1346365,2153412
4276941,5483013
4276941,5483002
4276941,5482978
4276941,5482971
2936738,9848394
2847393,4313139
2847393,4087523
2674653,3169640
2829525,4276522
2829525,3169360
2930787,5181712
2847398,4087523
2960570,4481490
2960571,4481490
2758052,9899445
2758052,9848394
560122,9847532
560122,3576689
560122,3250440
560122,2870470
560122,2551961
2912922,5181578
8029517,9637767
2847402,4087523
2847404,4087523
3109489,5168543
2817624,3172805
2817624,3172800
2972493,5680787
4276957,5483013
4276957,5483002
4276957,5482978
4276957,5482971
4288870,5174557
2924842,5181712
9637767,10568513
9637767,10504060
9637767,10426180
9637767,10317214
9637767,10315153
9637767,10315092
9637767,10306944
9637767,10301134
9637767,10301101
9637767,10289463
9637767,10288059
9637767,10288039
9637767,10281293
9637767,10279484
9637767,10277810
9637767,10277806
9637767,10277794
9637767,10271238
9637767,10268838
9637767,10268836
9637767,10262100
9637767,10255703
9637767,10252202
9637767,10245362
