src_page,dest_page
1500500,2895396
1500500,10222139
315582,1367426
315582,1347806
315582,731823
315582,683874
473373,1409104
473373,1098476
2060211,2676463
515054,857786
515054,526956
1301030,2107550
1301030,1766304
488260,1098476
646051,1766304
2870006,3718385
9589507,10145764
9589507,10089604
9589507,9995458
74435,1354853
74435,683874
74435,522695
74435,191338
74435,184877
74435,175970
74435,117985
74435,83312
74435,81252
74436,191338
74436,184877
74436,175970
74436,117985
74436,83312
3935841,10260446
1149199,2084532
74437,654939
74437,184877
1217676,1301429
74439,2081313
74439,191338
74439,184877
74439,175970
74439,83312
74439,3011599
74440,272649
74440,191338
74440,184877
74440,175970
74440,83312
2084038,8349455
2084038,8346805
2084038,8343347
2084038,8212472
2084038,8195061
2084038,7503786
2084038,7502585
2084038,6478664
2084038,6350169
2084038,6345357
2084038,6205245
2084038,3880382
2084038,3880375
2084038,3788213
2084038,3787860
2084038,3719785
2084038,3719781
2084038,3502784
2084038,3501589
2084038,2983669
2084038,2964997
2084038,2874284
2084038,2740663
2084038,2740618
2084038,2740549
2084038,2711404
2084038,2711310
1149203,2084345
1149203,9256777
1149203,4004239
74441,191338
74441,184877
74441,175970
74441,117985
74441,83312
74441,81252
7529305,10182623
74442,191338
74442,184877
74442,175970
74442,117985
74442,4897373
74442,2669226
74442,2473926
74442,1539472
74442,869334
74442,762867
74442,284355
74442,126547
74442,107642
74442,103015
74442,86934
74442,81294
74442,80223
1339744,2077367
1339744,1718127
1149206,2084038
1149206,4315231
98262,1346026
98262,192420
98262,2077545
98262,2066500
1828005,2180507
2039385,10178950
2039385,10178932
702631,1766304
6389049,7872018
3501183,5256965
4105551,8311968
4105551,6604087
4105551,6600144
4105551,6600136
4105551,6313511
4105551,5689848
4105551,4831282
4105551,4774208
202466,731823
202466,553375
202466,10455540
202466,4499285
202466,1077034
202466,471123
133989,1343778
133989,1343441
133989,1343432
133989,502088
133989,191338
133989,175970
902104,1343432
902104,1317375
771109,1326299
562705,1343441
902102,3717640
2351993,7827838
643091,5166840
643091,4927160
643091,4397083
643091,4226952
643091,1571497
643091,1571443
643091,1510962
643091,1298558
643091,1239789
116130,1343432
116130,1301429
116130,1247365
116130,1216828
116130,758575
116130,731823
116130,283424
116130,260222
116130,189853
116130,175970
139948,1765486
139948,758575
139948,731823
139948,533244
139948,184877
139948,184682
139948,184681
1134327,1622549
1134327,1347806
6433711,8102165
6433711,8102161
6433711,8102155
2676508,9930920
610344,1159446
610344,731823
610344,683874
1149208,2084038
1149208,1343778
732409,2008120
732409,1159446
720501,1343441
720501,758575
720501,731823
74452,191338
74452,184877
74452,175970
74452,117985
74453,191338
74453,184877
74453,175970
74453,117985
2262682,3731444
2262682,3608920
2262682,2669532
497214,1098476
497214,502088
9640140,9714370
1440981,9077748
1440981,8513452
1440981,8040731
1440981,7517545
1440981,6415549
1440981,6122306
1440981,6083455
1440981,5546439
1440981,5077146
1440981,4540416
1440981,3644441
1440981,2683137
1440981,2369378
1351666,10517824
1351666,10517410
1351666,10448917
1351666,10448903
1351666,10375876
1351666,10241084
1351666,10239988
1351666,10227125
1351666,10226355
1351666,10219100
